,_id,ltable_ID,rtable_ID,ltable_Title,ltable_Author,ltable_Publication,ltable_Format,ltable_ISBN,ltable_Series,ltable_Physical Details,rtable_Title,rtable_Author,rtable_Publication,rtable_Format,rtable_ISBN,rtable_Series,rtable_Physical Details,label
46,187,a105,b1187,"""Transactions on computational science V : special issue on cognitive knowledge representation""","""Marina L. Gavrilova ... [and others] (eds.)""","""Berlin ; New York : Springer, [2009] ©2009""","""Books""",9783642020971,"""Lecture notes in computer science ; 5540,""","""nan""","""Transactions on computational science XVI ""","""Gavrilova, Marina L. | Tan, C. J. Kenneth""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642326639,"""Lecture notes in computer science ; 7380.""","""1 online resource.""",0
156,683,a1248,b3289,"""Computer algebra in scientific computing : 8th international workshop, CASC 2005, Kalamata, Greece, September 12-16, 2005 ; proceedings""","""Victor G. Ganzha, Ernst W. Mayr, Evgenii V. Vorozhtsov (eds.)""","""Berlin ; New York : Springer, 2005.""","""Books""",9783540289661,"""Lecture notes in computer science. 3718,""","""nan""","""Graph-theoretic concepts in computer science : 41st International Workshop, WG 2015 Garching, Germany, June 17-19, 2015, revised papers  ""","""Mayr, Ernst,""","""Berlin""","""Electronic books. | Conference papers and proceedings.""",9783662531747,"""Lecture notes in computer science ; 9224. 0302-9743 Lecture notes in computer science. Advanced research in computing and software science. LNCS sublibrary. SL 1, Theoretical computer science and general issues.""","""1 online resource (xiv, 514 pages).""",0
228,925,a4969,b907,"""Transactions on large-scale data- and knowledge-centered systems XXXI special issue on data and security engineering""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner, Tran Khanh Dang, Nam Thoai (eds.)""","""Berlin, Germany : Springer, 2017.""","""Books""",9783662541739,"""Lecture notes in computer science ; 10140,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems X : special issue on database- and expert-systems applications  ""","""Hameurlain, Abdelkader,""","""Berlin ; Springer, Â©2013.""","""Electronic books.""",9783642412219,"""Lecture notes in computer science ; 8220.""","""1 online resource (x, 199 pages).""",0
273,1183,a2515,b376,"""Chemometrics with R : multivariate data analysis in the natural sciences and life sciences""","""Ron Wehrens""","""Heidelberg ; New York : Springer, [2011] ©2011""","""Books""",9783642178412,"""Use R!,""","""nan""","""Chemometrics with R : multivariate data analysis in the natural sciences and life sciences  ""","""Wehrens, Ron.""","""Heidelberg ; Springer, Â©2011.""","""Electronic books.""",9783642178412,"""Use R!""","""1 online resource (xiv, 285 pages)""",1
27,89,a2925,b6680,"""Pattern recognition and machine intelligence : 7th International Conference, PReMI 2017, Kolkata, India, December 5-8, 2017, Proceedings""","""B. Uma Shankar, Kuntal Ghosh, Deba Prasad Mandal, Shubhra Sankar Ray, David Zhang, Sankar K. Pal (eds.)""","""Cham : Springer, 2017.""","""Books""",9783319699004,"""Lecture notes in computer science ; 10597,LNCS sublibrary. Image processing, computer vision, pattern recognition, and graphics,""","""nan""","""Information systems design and intelligent applications : proceedings of Third International Conference INDIA 2016. Volume 3  ""","""Satapathy, Suresh Chandra, | Mandal, Jyotsna Kumar, | Udgata, Siba K., | Bhateja, Vikrant,""","""[New Delhi]""","""Electronic books. | Conference papers and proceedings.""",9788132227571,"""Advances in intelligent systems and computing ; 435. 2194-5357""","""1 online resource (xviii, 669 pages)""",0
144,606,a1796,b827,"""Semantic web-based intelligent geospatial web services""","""Peng Yue""","""New York, NY : Springer, 2013.""","""Books""",9781461468097,"""SpringerBriefs in computer science,""","""nan""","""Semantic web-based intelligent geospatial web services  ""","""Yue, Peng""","""New York, NY""","""Electronic books.""",9781461468097,"""SpringerBriefs in computer science.""","""1 online resource (viii, 111 pages)""",1
259,1136,a3061,b99,"""Modeling techniques in predictive analytics : business problems and solutions with R""","""Thomas W. Miller""","""Revised and expanded edition. Upper Saddle River, N.J. : Pearson, [2015] ©2015""","""Books""",9780133886016,"""nan""","""nan""","""Marketing data science : modeling techniques in predictive analytics with R and Python  ""","""Miller, Thomas W.""","""Old Tappan, New Jersey""","""Electronic books.""",9780133887662,"""nan""","""1 online resource""",0
37,138,a4781,b4182,"""ITiCSE 2002 : proceedings of the 7th Annual SIGCSE Conference on Innovation and Technology in Computer Science Education, June 24-28, 2002, Aarhus, Denmark""","""conference co-chairs, Michael E. Caspersen, Dan Joyce ; program co-chairs, Don Goelman, Ian Utting ; proceedings editor & ACM coordinator, David Finkel""","""New York : Association for Computing Machinery, [2002] ©2002""","""Books""",9781581134995,"""SIGCSE bulletin. v. 34, no. 3 (Sept. 2002),""","""nan""","""High performance computing in science and engineering '09 : transactions of the High Performance Computing Center, Stuttgart (HLRS) 2009  ""","""Nagel, Wolfgang E. | KrÃ¶ner, Dietmar. | Resch, Michael.""","""Berlin ; Springer-Verlag, Â©2010.""","""Electronic books. | Congresses. | Conference proceedings.""",9783642046650,"""nan""","""1 online resource (xii, 551 pages)""",0
97,383,a5426,b592,"""Transactions on large-scale data- and knowledge-centered systems XVII : selected papers from DaWaK 2013""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner, Ladjel Bellatreche, Mukesh Mohania (eds.)""","""Heidelberg : Springer, [2015] ©2015""","""Books""",9783662463352,"""Lecture notes in computer science ; 8970,Transactions on large-scale data- and knowledge-centered systems ; 17,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems II ""","""Hameurlain, Abdelkader.""","""Berlin ; Springer, c2010.""","""Electronic books.""",9783642161759,"""Lecture notes in computer science ; 6380.""","""1 online resource (vii, 140 p.""",0
191,805,a5640,b685,"""Transactions on large-scale data- and knowledge-centered systems XXXIII""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner, Reza Akbarinia, Esther Pacitti (eds.)""","""Berlin, Germany : Springer, 2017.""","""Books""",9783662556962,"""Lecture notes in computer science ; 10430,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems XIX : special issue on big data and open data  ""","""Hameurlain, Abdelkader,""","""Heidelberg""","""Electronic books.""",9783662465622,"""Lecture notes in computer science ; 8990. 0302-9743""","""1 online resource (ix, 129 pages)""",0
135,570,a3594,b858,"""Foundations of data organization and algorithms : 4th International Conference, FODO '93, Chicago, Illinois, USA, October 13-15, 1993 : proceedings""","""David B. Lomet, (ed.)""","""Berlin ; New York : Springer-Verlag, [1993] ©1993""","""Books""",9783540573012,"""Lecture notes in computer science ; 730,""","""nan""","""Foundations of data organization and algorithms : 4th International Conference, FODO '93, Chicago, Illinois, USA, October 13-15, 1993 : proceedings  ""","""Lomet, David B.,""","""Berlin ; Springer-Verlag, c1993.""","""Electronic books. | Conference proceedings.""",9783540480471,"""Lecture notes in computer science ; 730. 0302-9743""","""1 online resource (411 p.)""",0
118,512,a120,b4255,"""Financial cryptography and data security : FC 2015 International Workshops, BITCOIN, WAHC, and Wearable, San Juan, Puerto Rico, January 30, 2015, revised selected papers""","""edited by Michael Brenner, Nicolas Christin, Benjamin Johnson, Kurt Rohloff""","""Heidelberg : Springer, 2015.""","""Books""",9783662480519,"""Lecture notes in computer science ; 8976,LNCS sublibrary. Security and cryptology,""","""nan""","""Financial cryptography and data security : FC 2015 International Workshops, BITCOIN, WAHC, and Wearable, San Juan, Puerto Rico, January 30, 2015, Revised Selected Papers  ""","""Brenner, Michael | Christin, Nicolas, | Johnson, Benjamin, | Rohloff, Kurt,""","""Heidelberg""","""Electronic books.""",9783662480519,"""Lecture notes in computer science ; 8976. 0302-9743 LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource (xii, 309 pages)""",1
160,700,a1267,b6367,"""Computational intelligence in data mining. Volume 1 : Proceedings of the International Conference on CIDM, 5-6 December 2015""","""Himansu Sekhar Behera, Durga Prasad Mohapatra, editors""","""India : Springer, [2016] ©2016""","""Books""",9788132227342,"""Advances in intelligent systems and computing ; vol. 410,""","""nan""","""Proceedings of the 3rd International Conference on Advanced Computing, Networking, and Informatics (ICACNI 2015). Volume 1  ""","""Nagar, Atulya K., | Mohapatra, Durga Prasad, | Chaki, Nabendu,""","""New Delhi ; New York""","""Electronic books. | Conference papers and proceedings.""",9788132225386,"""Smart innovation, systems, and technologies ; 43.""","""1 online resource.""",0
264,1149,a4637,b2090,"""Chinese computational linguistics and natural language processing based on naturally annotated big data : 15th China National Conference, CCL 2016, and 4th International Symposium, NLP-NABD 2016, Yantai, China, October 15-16, 2016, Proceedings""","""edited by Maosong Sun, Xuanjing Huang, Hongfei Lin, Zhiyuan Liu, Yang Liu""","""Cham, Switzerland : Springer, 2016.""","""Books""",9783319476742,"""Lecture notes in computer science. Lecture notes in artificial intelligence ; 10035,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Information computing and applications : third International Conference, ICICA 2012, Chengde, China, September 14-16, 2012. Proceedings. Part II  ""","""Liu, Chunfeng. | Wang, Leizhen. | Yang, Aimin.""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642340413,"""Communications in computer and information science ; 308.""","""1 online resource.""",0
214,878,a2372,b797,"""Data management in grid and peer-to-peer systems : third international conference, Globe 2010, Bilbao, Spain, September 1-2, 2010 : proceedings""","""Abdelkader Hameurlain, Franck Morvan, A Min Tjoa (eds.)""","""Berlin ; New York : Springer, [2010] ©2010""","""Books""",9783642151088,"""Lecture notes in computer science ; 6265,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""Data Management in Cloud, Grid and P2P Systems : 6th International Conference, Globe 2013, Prague, Czech Republic, August 28-29, 2013 : proceedings  ""","""Hameurlain, Abdelkader, | Rahayu, Johanna Wenny, | Taniar, David,""","""Heidelberg""","""Electronic books. | Conference papers and proceedings.""",9783642400537,"""Lecture notes in computer science ; 8059, 0302-9743""","""1 online resource (x, 125 pages)""",0
238,991,a1876,b862,"""Data management in grid and peer-to-peer systems : second international conference, Globe 2009, Linz, Austria, September 1-2, 2009 : proceedings""","""Abdelkader Hameurlain, A Min Tjoa (eds.)""","""Berlin ; New York : Springer, [2009] ©2009""","""Books""",9783642037153,"""Lecture notes in computer science ; 5697,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""Data management in grid and peer-to-peer systems : second international conference ; proceedings, Globe 2009, Linz, Austria, September 1-2, 2009  ""","""Hameurlain, Abdelkader. | Tjoa, A. Min.""","""Berlin ; Springer, Â©2009.""","""Electronic books. | Conference papers and proceedings.""",9783642037153,"""Lecture notes in computer science ; 5697.""","""1 online resource (viii, 149 pages)""",1
76,309,a2372,b1198,"""Data management in grid and peer-to-peer systems : third international conference, Globe 2010, Bilbao, Spain, September 1-2, 2010 : proceedings""","""Abdelkader Hameurlain, Franck Morvan, A Min Tjoa (eds.)""","""Berlin ; New York : Springer, [2010] ©2010""","""Books""",9783642151088,"""Lecture notes in computer science ; 6265,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""Database and Expert Systems Applications : 24th International Conference, DEXA 2013, Prague, Czech Republic, August 26-29, 2013 : proceedings. Part I  ""","""Decker, Hendrik, | LhotskÃ¡, Lenka, | Link, Sebastian, | Basl, Josef, | Tjoa, A. Min,""","""Heidelberg""","""Electronic books. | Conference papers and proceedings.""",9783642402852,"""Lecture notes in computer science ; 8055. LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.""","""1 online resource (xxiv, 465 pages)""",0
212,875,a4253,b797,"""Transactions on large-scale data- and knowledge-centered systems XVI : selected papers from ACOMP 2013""","""Abdelkader Hameurlain [and 4 more] (eds.)""","""Berlin : Springer, 2014.""","""Books""",9783662459478,"""Lecture notes in computer science ; 8960,""","""nan""","""Data Management in Cloud, Grid and P2P Systems : 6th International Conference, Globe 2013, Prague, Czech Republic, August 28-29, 2013 : proceedings  ""","""Hameurlain, Abdelkader, | Rahayu, Johanna Wenny, | Taniar, David,""","""Heidelberg""","""Electronic books. | Conference papers and proceedings.""",9783642400537,"""Lecture notes in computer science ; 8059, 0302-9743""","""1 online resource (x, 125 pages)""",0
225,911,a5426,b695,"""Transactions on large-scale data- and knowledge-centered systems XVII : selected papers from DaWaK 2013""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner, Ladjel Bellatreche, Mukesh Mohania (eds.)""","""Heidelberg : Springer, [2015] ©2015""","""Books""",9783662463352,"""Lecture notes in computer science ; 8970,Transactions on large-scale data- and knowledge-centered systems ; 17,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems XXIX  ""","""Hameurlain, Abdelkader, | KÃ¼ng, Josef, | Wagner, Roland,""","""Berlin, Germany""","""Electronic books.""",9783662540374,"""Lecture notes in computer science ; 10120. 0302-9743""","""1 online resource (vii, 135 pages)""",0
255,1126,a5686,b801,"""Data warehousing and knowledge discovery : 16th International Conference, DaWaK 2014, Munich, Germany, September 2-4, 2014, proceedings""","""Ladjel Bellatreche, Mukesh K. Mohania (eds.)""","""Cham : Springer, [2014] ©2014""","""Books""",9783319101606,"""Lecture notes in computer science ; 8646,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""Data warehousing and knowledge discovery : 11th International Conference, DaWaK 2009 Linz, Austria, August 31-September 2, 2009, proceedings  ""","""Pedersen, Torben Bach. | Mohania, Mukesh. | Tjoa, A. Min.""","""Berlin ; Springer-Verlag, Â©2009.""","""Electronic books. | Conference papers and proceedings.""",9783642037306,"""Lecture notes in computer science ; 5691.""","""1 online resource.""",0
237,989,a3279,b862,"""Data warehousing and knowledge discovery : 11th international conference, DaWaK 2009, Linz, Austria, August 31-September 2, 2009 : proceedings""","""Torben Bach Pedersen, Mukesh K. Mohania, A Min Tjoa (eds.)""","""Berlin ; New York : Springer, [2009] ©2009""","""Books""",9783642037306,"""Lecture notes in computer science ; 5691,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""Data management in grid and peer-to-peer systems : second international conference ; proceedings, Globe 2009, Linz, Austria, September 1-2, 2009  ""","""Hameurlain, Abdelkader. | Tjoa, A. Min.""","""Berlin ; Springer, Â©2009.""","""Electronic books. | Conference papers and proceedings.""",9783642037153,"""Lecture notes in computer science ; 5697.""","""1 online resource (viii, 149 pages)""",0
282,1230,a4059,b596,"""The role of scientific and technical data and information in the public domain : proceedings of a symposium""","""Julie M. Esanu and Paul F. Uhlir, editors ; Steering Committee on the Role of Scientific and Technical Data and Information in the Public Domain, Office of International Scientific and Technical Information Programs, Board on International Scientific Organizations, Policy and Global Affairs Division, National Research Council of the National Academies""","""Washington, D.C. : National Academies Press, [2003] ©2003""","""Books""",9780309088503,"""nan""","""nan""","""Advances in intelligent data analysis : reasoning about data : second international symposium, IDA-97, London, UK, August 4-6, 1997 : proceedings  ""","""Liu, X. | Cohen, Paul R. | Berthold, M.""","""Berlin ; Springer, c1997.""","""Electronic books. | Conference proceedings.""",9783540695202,"""Lecture notes in computer science ; 1280.""","""1 online resource (xii, 620 p.)""",0
44,182,a775,b3285,"""Advances in cryptology, EUROCRYPT 2000 : International Conference on the Theory and Application of Cryptographic Techniques, Bruges, Belgium, May 14-18, 2000 : proceedings""","""Bart Preneel (ed.)""","""Berlin ; New York : Springer, [2000] ©2000""","""Books""",9783540675174,"""Lecture notes in computer science ; 1807,""","""nan""","""Cryptography and information security in the Balkans : first international conference, BalkanCryptSec 2014, Istanbul, Turkey, October 16-17, 2014, Revised selected papers  ""","""Yalcin, Siddika Berna Ors, | Preneel, Bart,""","""Cham""","""Electronic books. | Conference papers and proceedings.""",9783319213569,"""Lecture notes in computer science ; 9024. 0302-9743 LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource (x, 251 pages)""",0
272,1179,a635,b824,"""Research and development in knowledge discovery and data mining : Second Pacific-Asia Conference, PAKDD-98, Melbourne, Australia, April 15-17, 1998 : proceedings""","""Xindong Wu, Ramamohanarao Kotagiri, Kevin B. Korb (eds.)""","""Berlin ; New York : Springer, [1998] ©1998""","""Books""",9783540643838,"""Lecture notes in computer science ; 1394,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Research and development in knowledge discovery and data mining : Second Pacific-Asia Conference, PAKDD-98, Melbourne, Australia, April 15-17, 1998 : proceedings  ""","""Wu, Xindong. | Ramamohanarao, Kotagiri. | Korb, Kevin B.""","""Berlin ; Springer, 1998.""","""Electronic books.""",9783540697688,"""Lecture notes in computer science ; 1394. Lecture notes in computer science. Lecture notes in artificial intelligence.""","""1 online resource (xvi, 424 p.)""",1
189,803,a5426,b685,"""Transactions on large-scale data- and knowledge-centered systems XVII : selected papers from DaWaK 2013""","""Abdelkader Hameurlain, Josef Küng, Roland Wagner, Ladjel Bellatreche, Mukesh Mohania (eds.)""","""Heidelberg : Springer, [2015] ©2015""","""Books""",9783662463352,"""Lecture notes in computer science ; 8970,Transactions on large-scale data- and knowledge-centered systems ; 17,""","""nan""","""Transactions on large-scale data- and knowledge-centered systems XIX : special issue on big data and open data  ""","""Hameurlain, Abdelkader,""","""Heidelberg""","""Electronic books.""",9783662465622,"""Lecture notes in computer science ; 8990. 0302-9743""","""1 online resource (ix, 129 pages)""",0
152,676,a4637,b1911,"""Chinese computational linguistics and natural language processing based on naturally annotated big data : 15th China National Conference, CCL 2016, and 4th International Symposium, NLP-NABD 2016, Yantai, China, October 15-16, 2016, Proceedings""","""edited by Maosong Sun, Xuanjing Huang, Hongfei Lin, Zhiyuan Liu, Yang Liu""","""Cham, Switzerland : Springer, 2016.""","""Books""",9783319476742,"""Lecture notes in computer science. Lecture notes in artificial intelligence ; 10035,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Information computing and applications : third International Conference, ICICA 2012, Chengde, China, September 14-16, 2012. Proceedings. Part I  ""","""Liu, Chunfeng. | Wang, Leizhen. | Yang, Aimin.""","""Berlin ; Springer, Â©2012.""","""Electronic books. | Conference papers and proceedings.""",9783642340383,"""Communications in computer and information science ; 307.""","""1 online resource.""",0
158,697,a5196,b5855,"""Evolutionary computing : AISB Workshop, Leeds, U.K., April 11-13, 1994 : selected papers""","""Terence C. Fogarty, (ed.)""","""Berlin ; New York : Springer-Verlag, [1994] ©1994""","""Books""",9783540584834,"""Lecture notes in computer science ; 865,""","""nan""","""Evolutionary computing : AISB Workshop Leeds, U.K., April 11-13, 1994 Selected Papers  ""","""Fogarty, Terence C.""","""Berlin""","""Electronic books.""",9783540489993,"""Lecture notes in computer science ; 865. 0302-9743""","""1 online resource.""",1
101,417,a2949,b4486,"""Financial cryptography and data security : 17th International Conference, FC 2013, Okinawa, Japan, April 1-5, 2013, revised selected papers""","""Ahmad-Reza Sadeghi (ed.)""","""Berlin : Springer, 2013.""","""Books""",9783642398841,"""Lecture notes in computer science ; 7859,LNCS sublibrary. Security and cryptology,""","""nan""","""Applied cryptography and network security : 14th International Conference, ACNS 2016, Guildford, UK, June 19-22, 2016. Proceedings  ""","""Manulis, Mark, | Sadeghi, Ahmad-Reza, | Schneider, Steve,""","""Cham""","""Electronic books. | Conference papers and proceedings.""",9783319395555,"""Lecture notes in computer science ; 9696. 0302-9743 LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource (xiv, 668 pages)""",0
54,212,a2372,b1060,"""Data management in grid and peer-to-peer systems : third international conference, Globe 2010, Bilbao, Spain, September 1-2, 2010 : proceedings""","""Abdelkader Hameurlain, Franck Morvan, A Min Tjoa (eds.)""","""Berlin ; New York : Springer, [2010] ©2010""","""Books""",9783642151088,"""Lecture notes in computer science ; 6265,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""Data management in grid and peer-to-peer systems : third international conference, Globe 2010, Bilbao, Spain, September 1-2, 2010 : proceedings  ""","""Hameurlain, Abdelkader. | Morvan, Franck. | Tjoa, A. Min.""","""Berlin""","""Electronic books. | Conference papers and proceedings.""",9783642151088,"""Lecture notes in computer science ; 6265. 0302-9743 LNCS sublibrary. SL 3, Information systems and applications, incl. Internet/Web, and HCI.""","""1 online resource (x, 159 p.)""",1
181,756,a120,b5696,"""Financial cryptography and data security : FC 2015 International Workshops, BITCOIN, WAHC, and Wearable, San Juan, Puerto Rico, January 30, 2015, revised selected papers""","""edited by Michael Brenner, Nicolas Christin, Benjamin Johnson, Kurt Rohloff""","""Heidelberg : Springer, 2015.""","""Books""",9783662480519,"""Lecture notes in computer science ; 8976,LNCS sublibrary. Security and cryptology,""","""nan""","""Financial cryptography and data security : FC 2014 Workshops, BITCOIN and WAHC 2014, Christ Church, Barbados, March 7, 2014 : revised selected papers  ""","""BÃ¶hme, Rainer, | Brenner, Michael, | Moore, Tyler, | Smith, Matthew,""","""Heidelberg""","""Electronic books.""",9783662447741,"""Lecture notes in computer science ; 8438. 1611-3349 LNCS sublibrary. SL 4, Security and cryptology.""","""1 online resource (xii, 249 pages)""",0
18,63,a3494,b928,"""Machine learning and data mining in pattern recognition : 8th International Conference, MLDM 2012, Berlin, Germany, July 13-20, 2012. Proceedings""","""Petra Perner (ed.)""","""Berlin ; New York : Springer, [2012] ©2012""","""Books""",9783642315374,"""Lecture notes in computer science ; 7376,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,Lecture notes in computer science. Lecture notes in artificial intelligence,LNCS sublibrary. Artificial intelligence,""","""nan""","""Machine learning and data mining in pattern recognition : 6th international conference, MLDM 2009, Leipzig, Germany, July 23-25, 2009 : proceedings  ""","""Perner, Petra.""","""Berlin""","""Electronic books. | Conference papers and proceedings.""",9783642030703,"""Lecture notes in computer science ; 5632. LNCS sublibrary. SL 7, Artificial intelligence. Lecture notes in computer science. Lecture notes in artificial intelligence.""","""1 online resource (xiv, 824 pages)""",0
281,1226,a82,b596,"""Advances in intelligent data analysis : reasoning about data : second international symposium, IDA-97, London, UK, August 4-6, 1997 : proceedings""","""Xiaohui Liu, Paul Cohen, Michael Berthold (eds.)""","""Berlin ; New York : Springer, [1997] ©1997""","""Books""",9783540633464,"""Lecture notes in computer science. 1280,""","""nan""","""Advances in intelligent data analysis : reasoning about data : second international symposium, IDA-97, London, UK, August 4-6, 1997 : proceedings  ""","""Liu, X. | Cohen, Paul R. | Berthold, M.""","""Berlin ; Springer, c1997.""","""Electronic books. | Conference proceedings.""",9783540695202,"""Lecture notes in computer science ; 1280.""","""1 online resource (xii, 620 p.)""",1
250,1032,a2396,b568,"""Human-computer interaction and knowledge discovery in complex, unstructured, big data : third International Workshop, HCI-KDD 2013, held at SouthCHI 2013, Maribor, Slovenia, July 1-3, 2013, proceedings""","""Andreas Holzinger, Gabriella Pasi (eds.)""","""Berlin ; New York : Springer, [2013] ©2013""","""Books""",9783642391460,"""Lecture notes in computer science ; 7947,LNCS sublibrary. Information systems and applications, incl. Internet/Web, and HCI,""","""nan""","""Data management technologies and applications : 4th International Conference, DATA 2015, Colmar, France, July 20-22, 2015 revised selected papers  ""","""Helfert, Markus, | Holzinger, Andreas, | Belo, Orlando | Francalanci, Chiara,""","""Cham""","""Electronic books. | Conference papers and proceedings.""",9783319301624,"""Communications in computer and information science ; 584. 1865-0929""","""1 online resource (xi, 155 pages).""",0
